prc_id,company,attack_date,org_type,cik,method
83,SRA International,2009-02-03,BSO,906192,exact
170,Wells Fargo,2008-08-12,BSF,72971,manual
198,1st Source Bank,2008-06-10,BSF,34782,manual
251,Advance Auto Parts,2008-03-31,BSR,1158449,exact
401,Western Union,2007-07-17,BSF,1365135,exact
505,"Deb Shops, Inc.",2006-12-20,BSR,715779,exact
730,Suffolk County National Bank,2010-01-12,BSF,754673,manual
762,MoneyGram International,2007-01-12,BSF,1273931,exact
803,Monster.com,2009-01-23,BSO,1020416,manual
809,The Washington Trust Co.,2008-08-28,BSF,737468,manual
812,LPL Financial (formerly Linsco Private Ledger),2008-07-08,BSF,1397911,manual
820,Wyndham Hotels & Resorts,2009-02-16,BSO,1361658,manual
845,Aetna,2009-05-28,MED,1122304,exact
858,Monster.com,2007-08-23,BSO,1020416,manual
871,Google Ads,2007-04-27,BSO,1288776,manual
890,Dollar Tree,2006-08-01,BSR,935703,exact
950,"Polo Ralph Lauren, HSBC",2005-04-15,BSR,1037038,manual
1064,Charles Schwab,2010-04-09,BSF,316709,manual
1145,Digital River Inc.,2010-06-04,BSF,1062530,exact
1193,Hancock Fabrics,2009-11-23,BSR,812906,exact
1223,Cisco Live 2010 ,2010-07-10,BSO,858877,manual
1336,Principal Financial Group,2010-05-14,BSF,1126328,exact
1496,Citibank,2008-06-19,BSF,831001,manual
1497,OfficeMax,2006-02-09,BSR,12978,exact
1651,Frost Bank,2006-05-19,BSF,39263,manual
1702,"Copart, Inc.",2006-08-28,BSR,900075,exact
1712,Monadnock Community Bank,2010-11-16,BSF,1283899,manual
1739,"LandAmerica Credit Services, Inc., Diversified Capital",2006-09-01,BSF,877355,manual
1741,North Fork Bank,2006-09-23,BSF,352510,manual
1767,"Triple-C, Inc. (TCI), Triple-S Salud, Inc. (TSS)",2010-11-23,MED,1171662,manual
1850,Public Storage Inc.,2007-01-29,BSO,1393311,exact
1865,Brunswick Corp.,2007-02-16,BSR,14930,exact
1881,First Advantage SBS,2007-02-28,BSO,1210677,manual
1928,vFinance Investments Inc.,2007-06-05,BSF,890285,manual
1933,Intergraph Corporation,2007-07-16,BSR,351145,exact
1949,"Digital River Inc., SWReg Inc.",2010-12-22,BSR,1062530,manual
1962,Penson Worldwide,2007-08-09,BSF,1123541,exact
1974,Hartford Life Insurance Company,2007-09-12,BSF,45947,exact
1980,Track Data Securities Corp.,2007-10-12,BSF,922811,manual
1982,LPL Financial,2007-10-12,BSF,1397911,exact
1984,"First Banks Inc, iWire Inc",2007-10-18,BSF,710507,manual
2006,Sovereign Bank,2010-12-31,BSF,811830,manual
2084,SAIC            ,2008-01-18,BSO,1336920,exact
2213,TripAdvisor,2011-03-24,BSO,1526520,exact
2222,Hartford Life Insurance Company,2011-04-06,BSF,45947,exact
2225,"TJ stores (TJX), including TJMaxx, Marshalls, Winners, HomeSense, AJWright,  KMaxx, and possibly Bob's Stores in U.S. & Puerto Rico -- Winners and HomeGoods stores in Canada -- and possibly TKMaxx stores in UK and Ireland",2007-01-17,BSR,109198,manual
2252,Infogroup,2011-04-21,BSO,879437,exact
2272,Ceridian Corporation,2010-02-04,BSF,1124887,exact
2277,TD Ameritrade Holding Corp. ,2007-09-14,BSF,1173431,exact
2330,Best Buy,2011-05-06,BSR,764478,exact
2338,Fox.com,2011-05-10,BSO,1308161,manual
2391,Lockheed Martin,2011-05-27,BSO,936468,exact
2591,AT&T,2011-11-21,BSO,732717,exact
2631,"MyVetDirect.com, Butler Schein Animal Health (BSAH)",2011-12-20,BSO,1000228,manual
2687,VeriSign Inc.,2012-02-02,BSO,1014473,exact
2810,"X-Rite Incorporated, Pantone.com",2012-04-11,BSR,790818,manual
2856,Comcast,2012-05-20,BSO,1166691,exact
