,n,mean,paper_mean(chart),se,zero_share,disclosure_share
2007,260,0.06545947878498554,0.085,0.008320726997259754,0.7923076923076923,0.2076923076923077
2008,228,0.06413006720219756,0.097,0.008470908438809538,0.7719298245614035,0.22807017543859648
2009,236,0.10145616748143083,0.092,0.010367439426532907,0.673728813559322,0.3305084745762712
2010,217,0.09349957459942083,0.127,0.010922472086518198,0.7235023041474654,0.2764976958525346
2011,253,0.14451158297050135,0.153,0.01064474322540356,0.5573122529644269,0.4426877470355731
2012,264,0.2585226592912469,0.218,0.013949099768857496,0.4090909090909091,0.5909090909090909
2013,255,0.23596464174305617,0.27,0.012634289743782686,0.396078431372549,0.6078431372549019
2014,291,0.33159142738850605,0.335,0.011901550506222613,0.24398625429553264,0.7560137457044673
2015,263,0.37507928885838243,0.39,0.012474498315543541,0.20152091254752852,0.7984790874524715
2016,289,0.3765706810301438,0.403,0.011135166594153131,0.17993079584775087,0.8200692041522492
2017,263,0.4118513078297911,0.435,0.012245663438632837,0.1596958174904943,0.8403041825095057
2018,273,0.48500462400601324,0.455,0.010157232361667679,0.09157509157509157,0.9084249084249084
