cik,company,fyear,period,filing_date,accession,form,listed,in_sample,coregistrant_copy,n_item1a_sentences,risk_section_length,risk_section_length_ln,n_titles,secrets,readability,cyber_risk,cyber_risk_jaccard,n_train,crd_sentences,crd_sentences_ratio,negative_words,precise_words,litigious_words,negative_words_raw,precise_words_strong_modal,litigious_words_raw,mentions_insurance,cyber_insurance,cyber_insurance_partial,n_words,n_words_adj,sic,ff12
1120193,NASDAQ STOCK MARKET INC,2004,20041231,2005-03-14,0001193125-05-048077,10-K,True,False,False,375.0,365.0,5.902633333401366,32.0,1.0,2006271.0,0.0,0.0,0,10,0.02666666666666667,0.21153846153846154,-0.02564102564102564,0.00641025641025641,0.12087912087912088,0.0,0.003663003663003663,0,0,0,273,156,6200,Money
104169,WAL MART STORES INC,2004,20050131,2005-03-31,0001193125-05-066992,10-K,True,False,False,81.0,81.0,4.406719247264253,9.0,0.0,1781631.0,0.0,0.0,0,0,0.0,,,,,,,0,0,0,0,0,5331,Shops
906192,SRA INTERNATIONAL INC,2005,20050630,2005-09-13,0001193125-05-184818,10-K,True,False,False,405.0,400.0,5.993961427306569,41.0,1.0,1167403.0,0.0,0.0,0,5,0.012345679012345678,0.17647058823529413,-0.0,0.058823529411764705,0.09836065573770492,0.0,0.03278688524590164,1,1,1,122,68,7370,BusEq
865436,WHOLE FOODS MARKET INC,2005,20050925,2005-12-08,0001193125-05-239199,10-K,False,False,False,110.0,110.0,4.709530201312334,20.0,1.0,1118799.0,0.0,0.0,0,0,0.0,,,,,,,0,0,0,0,0,5411,Shops
896262,AMEDISYS INC,2005,20051231,2006-03-16,0001193125-06-056356,10-K,True,False,False,383.0,374.0,5.926926025970411,44.0,0.0,1254421.0,0.3536977865113189,0.08247422680412371,1,9,0.02349869451697128,0.21875,-0.015625,0.078125,0.11885245901639344,0.0,0.040983606557377046,0,0,0,244,128,8082,Hlth
14930,BRUNSWICK CORP,2005,20051231,2006-03-01,0000014930-06-000041,10-K,False,False,False,63.0,63.0,4.1588830833596715,15.0,0.0,4210140.0,0.0,0.0,0,0,0.0,,,,,,,0,0,0,0,0,3510,Manuf
1108109,COMMUNITY HEALTH SYSTEMS INC,2005,20051231,2006-02-24,0000950144-06-001468,10-K,True,False,False,177.0,177.0,5.181783550292085,17.0,0.0,1016534.0,0.0,0.0,0,0,0.0,,,,,,,0,0,0,0,0,8062,Hlth
1015780,E TRADE FINANCIAL CORP,2005,20051231,2006-03-03,0001193125-06-045154,10-K,True,False,False,209.0,203.0,5.318119993844216,29.0,0.0,4956713.0,0.0,0.0,0,6,0.028708133971291867,0.25806451612903225,-0.021505376344086023,0.03225806451612903,0.13636363636363635,0.0,0.017045454545454544,0,0,0,176,93,6035,Money
886982,GOLDMAN SACHS GROUP INC/,2005,20051125,2006-02-07,0000950123-06-001208,10-K,True,False,False,251.0,248.0,5.517452896464707,26.0,0.0,,0.0,0.0,0,3,0.01195219123505976,0.16666666666666666,-0.013888888888888888,0.027777777777777776,0.08783783783783784,0.0,0.013513513513513514,1,1,0,148,72,6211,Money
879437,INFOUSA INC,2005,20051231,2006-03-10,0001035704-06-000161,10-K,False,False,False,81.0,81.0,4.406719247264253,11.0,0.0,1030351.0,0.0,0.0,0,0,0.0,,,,,,,0,0,0,0,0,7331,Other
1048286,MARRIOTT INTERNATIONAL INC /MD/,2005,20051230,2006-02-22,0001193125-06-036627,10-K,True,False,False,119.0,119.0,4.787491742782046,20.0,0.0,2522610.0,0.0,0.0,0,0,0.0,,,,,,,0,0,0,0,0,7011,Other
12978,OFFICEMAX INC,2005,20051231,2006-03-14,0001047469-06-003312,10-K,True,False,False,82.0,80.0,4.394449154672439,13.0,0.0,1326718.0,0.0,0.0,0,2,0.024390243902439025,0.19230769230769232,-0.038461538461538464,0.07692307692307693,0.1111111111111111,0.0,0.044444444444444446,0,0,0,45,26,5110,Shops
316709,SCHWAB CHARLES CORP,2005,20051231,2006-02-27,0001193125-06-039674,10-K,False,False,False,83.0,79.0,4.382026634673881,17.0,0.0,2541089.0,0.0,0.0,0,4,0.04819277108433735,0.2,-0.08571428571428572,0.014285714285714285,0.11965811965811966,0.0,0.008547008547008548,0,0,0,117,70,6211,Money
1089473,VENTIV HEALTH INC,2005,20051231,2006-03-16,0001089473-06-000015,10-K,True,False,False,147.0,147.0,4.997212273764115,18.0,0.0,3109343.0,0.0,0.0,1,0,0.0,,,,,,,0,0,0,0,0,8742,Other
72971,WELLS FARGO & CO/MN,2005,20051231,2006-03-09,0000950149-06-000083,10-K,True,False,False,478.0,478.0,6.171700597410915,21.0,0.0,2234706.0,0.0,0.0,0,0,0.0,,,,,,,0,0,0,0,0,6021,Money
18498,GENESCO INC,2005,20060128,2006-04-13,0000950144-06-003491,10-K,True,False,False,164.0,164.0,5.10594547390058,14.0,0.0,991012.0,0.0,0.0,1,0,0.0,,,,,,,0,0,0,0,0,5661,Shops
789019,MICROSOFT CORP,2006,20060630,2006-08-25,0001193125-06-180008,10-K,True,False,False,203.0,194.0,5.272999558563747,23.0,1.0,1307904.0,0.20978004944913337,0.037052631578947365,2,9,0.04433497536945813,0.06976744186046512,-0.0,0.007751937984496124,0.046413502109704644,0.007751937984496124,0.004219409282700422,0,0,0,237,129,7372,BusEq
829224,STARBUCKS CORP,2006,20061001,2006-12-14,0000891020-06-000406,10-K,True,False,False,133.0,133.0,4.897839799950911,14.0,0.0,1524900.0,0.0,0.0,3,0,0.0,,,,,,,0,0,0,0,0,5810,Shops
46195,BANK OF HAWAII CORP,2006,20061231,2007-02-22,0001104659-07-013082,10-K,True,False,False,56.0,52.0,3.970291913552122,11.0,0.0,4941540.0,0.3785084563363781,0.12966490212569468,3,4,0.07142857142857142,0.15217391304347827,-0.0,0.043478260869565216,0.07446808510638298,0.0,0.02127659574468085,0,0,0,94,46,6022,Money
701221,CIGNA CORP,2006,20061231,2007-02-28,0000950159-07-000285,10-K,True,False,False,167.0,167.0,5.123963979403259,21.0,0.0,4148738.0,0.0,0.0,3,0,0.0,,,,,,,0,0,0,0,0,6324,Money
