firm,fyear,paper,ours,n_train,crd_sentences
Walgreens Boots Alliance,2018,0.684,0.6706500094356377,24,28
Great Western Bancorp,2016,0.683,0.6107457117255302,29,34
Heritage Commerce,2017,0.676,0.6529811862776734,30,35
Salem Media Group,2017,0.674,0.6531950278171059,30,45
Dexcom,2017,0.67,0.6328921645895759,30,43
Weyerhaeuser,2015,0.036,0.0392017551862831,26,1
Hess,2012,0.052,0.07103165527360952,18,1
Wayside Technology,2013,0.078,0.12273210636416833,24,1
Sanderson Farms,2012,0.109,0.14134853968774377,19,1
Dover,2012,0.111,0.21312267061798942,18,2
